OTU_ID,test1,test2,test3,test4,test5,test6
ASV1,0,0,0,5448,4109,2261
ASV10,108,211,0,0,0,0
ASV11,0,0,65,0,0,0
ASV12,1778,6023,1,0,0,0
ASV13,0,45,0,0,0,0
ASV14,0,0,0,0,32,0
ASV15,189,1,0,0,0,0
ASV16,0,0,21,0,0,0
ASV17,0,0,0,51,72,61
ASV18,0,0,0,21,36,14
ASV19,0,0,0,17,52,22
ASV2,0,0,358,0,0,0
ASV20,0,0,0,22,11,2967
ASV21,0,0,0,662,2174,801
ASV22,2270,1,0,0,0,0
ASV23,996,1,0,0,0,0
ASV24,879,0,1,0,0,0
ASV25,0,0,0,161,238,259
ASV26,0,0,402,0,0,0
ASV3,0,1,388,0,0,0
ASV4,0,0,16,178,34,238
ASV5,1,0,419,0,0,0
ASV6,0,0,166,0,0,0
ASV7,0,153,0,0,0,0
ASV8,92,0,0,0,0,0
ASV9,0,0,4,35,21,47
